trial_index,window_size,batch_size,d_model,n_head,num_layers,epoch_number,lr,mae,mape,mse,rmse,r2,runtime_s,started_at
128,8,32,256,8,8,606,0.005524533053634289,344.8745033335833,19.91717496598072,168649.18888799194,410.6691964196876,-0.3085620548861323,79.372842,2025-11-19T18:24:32
129,12,32,256,4,4,728,0.006003991708348576,402.1636601304868,23.61957082238336,224201.78489634473,473.4995088660016,-0.7395989289219089,49.86773,2025-11-19T18:25:53
130,8,32,1024,16,6,517,0.006257448400819805,361.00938300659055,20.985374701248887,183070.3087801418,427.8671625401297,-0.4204566356087469,76.236635,2025-11-19T18:26:45
131,8,64,512,8,8,537,0.005823751316097923,410.26980026720554,24.127688064047152,232975.54483996626,482.67540318516984,-0.8076752085447427,39.219301,2025-11-19T18:28:05
132,8,32,512,8,7,610,0.004131515040386052,342.8645037404843,19.77782950596604,166748.47559147855,408.3484732327018,-0.29381427392474957,67.526552,2025-11-19T18:28:46
133,8,32,512,8,6,653,0.007653004788242902,366.70823554565305,21.359021701659945,188506.65310507492,434.17352879358606,-0.4626376502214391,63.581637,2025-11-19T18:29:57
134,8,32,256,8,9,636,0.00835079865576138,360.45701484252805,20.949158514532375,182557.19644294027,427.2671253945712,-0.41647535743727704,92.057656,2025-11-19T18:31:05
135,8,32,512,8,6,479,0.0034934516047052206,358.92836900919474,20.84893291972646,181149.94574347025,425.61713516195545,-0.4055563907990123,46.419768,2025-11-19T18:32:39
136,12,32,512,4,7,637,0.005060458733056781,360.3004189766427,20.93889099260217,182412.1651791143,427.09737201148204,-0.4153500486832522,71.758515,2025-11-19T18:33:27
137,8,16,512,8,6,558,0.006974448941813069,373.22581367065305,21.78634869418319,195042.49594136144,441.6361578736069,-0.5133497585254052,110.155573,2025-11-19T18:34:42
138,12,16,256,8,5,625,0.006111140446097348,362.16941718627805,21.061432695142134,184155.8471667533,429.13383363090037,-0.4288794116161996,100.144019,2025-11-19T18:36:34
139,8,32,256,16,5,429,0.005481594172532578,345.52787450871347,19.962470937067792,169277.0703337393,411.43294755493184,-0.31343383541641257,35.935042,2025-11-19T18:38:16
140,8,16,512,4,6,678,0.005175965508597824,382.2602584377785,22.37196574805026,204297.46743466644,451.9927736531486,-0.5851597956506656,133.009075,2025-11-19T18:38:54
141,8,32,512,8,8,496,0.006636062945381912,357.75999335815305,20.772327480429734,180086.9021922689,424.3664715694077,-0.39730815395325214,62.522993,2025-11-19T18:41:09
142,8,32,512,8,4,589,0.00547679118486738,343.5413836232968,19.824755030469554,167383.35796018862,409.12511284470014,-0.2987403751558797,39.232739,2025-11-19T18:42:14
143,8,32,256,4,8,549,0.004013380718671737,344.9715390594947,19.923902302635913,168742.13545713926,410.7823456006103,-0.3092832344798202,71.918078,2025-11-19T18:42:55
144,8,16,512,8,8,456,0.00390462278882004,344.9227109344947,19.920517233239806,168695.35580736157,410.7254019504535,-0.30892026757174573,118.340591,2025-11-19T18:44:10
145,8,16,512,16,5,410,0.005593764926941967,353.21726874877805,20.474482359442316,176057.61799339546,419.5922044001717,-0.36604462730504617,66.663558,2025-11-19T18:46:14
146,8,32,1024,8,9,580,0.005189326809299186,343.1689674449114,19.798936824096337,167033.39550933914,408.69719293058415,-0.2960249895270717,129.032996,2025-11-19T18:47:26
147,12,32,1024,8,8,497,0.004911918879906209,360.18492011596555,20.93131854100948,182305.33633457884,426.97228989078303,-0.4145211554448789,113.165083,2025-11-19T18:49:38
